group_id,group_name,members,category_id,category_name,organizer_id,urlname
18204702,Pune Data Scientists & Analysts Group,1604,292,Tech,182651482,Pune-Big-Data-Analytics-Meetup
20200753,Sahyadri Adventure Club LLP (S.A.C.),3178,242,Outdoors & Adventure,194314736,SAHYADRI-ADVENTURE-CLUB
14170512,PlayScrum Pune,1227,292,Tech,144263822,PlayScrum-Pune
28201147,Global Innovators and Entrepreneurs Conclave,97,522,Career & Business,252640847,Global-Innovators-Entrepreneurs-Conclave
24289286,We love AWS CloudFormation!,573,292,Tech,13691191,We-love-AWS-CloudFormation
27162313,Local Bitcoin Cash,167,292,Tech,151208372,Bitcoin-cash-pune
26055764,Pune AI Developer Group in association with Intel Software,341,292,Tech,186201705,Pune-Developer-Group-in-association-with-Intel
12832322,Golang Pune,933,292,Tech,29807962,Golang-Pune
18457496,TechNxt,1179,292,Tech,223855649,TechNxt
27302480,Pune DevOps Meetup,169,292,Tech,244460302,Pune-DevOps-Meetup
19567957,Group Art Circle,665,122,Arts,11972396,GroupArtCircle
20743815,Pune (Big) Data Conference Group,782,292,Tech,46017172,Pune-Big-Data-Conference-Group
23667815,Distributed Systems Meetup,932,292,Tech,29807962,Distributed-Systems-Meetup
14856852,PHE - Pune Hiking Enthusiasts,4937,242,Outdoors & Adventure,77917022,PuneHikers
22299015,Art & Now!,1038,302,Health & Wellness,199359908,artandnow
20373090,Equity-Stock Market Professional Traders Whatsapp Group,1011,522,Career & Business,159980892,Equity-Stock-Market-Professional-Traders-Whatsapp-Group
23433542,Spark Scala Pune,1166,292,Tech,193939559,Spark-Scala-Pune
20820959,Open Learning For Entrepreneurship Development (OLED),2427,522,Career & Business,214230458,OLED101
1960961,The Pune Book Readers Club,778,222,Book Clubs,47654632,The-Pune-Book-Readers-Club
19737533,All India Oracle Users Group - Pune Chapter,723,292,Tech,166923182,All-India-Oracle-Users-Group-Pune-Chapter
26467601,Startup Gears Pune,750,292,Tech,240279331,Startup-Gears-Pune
19482863,Pixean: Photography Learning | Recognition,2310,262,Photography,164326382,pixean-pune
21870442,Pune Value Investors Meetup,490,522,Career & Business,134108902,Pune-Value-Investors-Meetup
17138692,Toastmasters Club Of Pune-Central,2520,522,Career & Business,88227242,TMCPCentral
